BUSINESS_NAME,RATING,REVIEW_TEXT
La Hacienda,5,"although i didnt cater this event so i cant rate them from that perspective we had a very nice experience here. food was great, service was great. we ate on the restaurant side, they also have a banquet hall. we had about 30 people at a busy time on a saturday and the service, while a little slow at times, was still as prompt as you could expect. well be back."
Jade Pacific,1,great place to grab a burger thats not fast food! there is usually a wait however.
Coach Grill,3,over the phone order takes forever.
Schultzy's Place,4,this is super messy eating with your hands.  add on that the conversation was in american sign language and you can picture the butter dripping down to our elbows and shells flying everywhere.ive been craving a seafood boil and happened to be come a across this restaurant in massachusetts. i totally recommend the service and food was superb .
Joy Luck Hot Pot,5,first time ordering the captains seafood platter... totally worth it.   this place never disappoints.
Cafe Polonia,5,yummy food!  
Kantin,5,"yummy refreshing sushi burritos that are filling, yet dont weigh you down after consumption. great, healthy choice for lunch! the ahi tuna was delicious highly recommended!!"
Citizen Public House & Oyster Bar,4,"each person gets their own hot pot, and its buffet style for everything but the meat and broth, with a huge selection of veggies, mushrooms and even fish balls. the fish balls are really delicious and could probably take the place of the meat to save a few bucks."
Exodus Bagels,4,you cant pass up just baked pistachio muffins. yum
Lotus Blossom,5,great pizza and craft beer on tap. cant go wrong with the special!
Capo Restaurant & Supper Club,1,"super friendly staff. food was outstanding. four stars not five because the cocktails were just okay and no selection of draft beers, but everyone was really impressed with this cozy place both times we visited. lots of good restaurants in the south end but this is one of the best."
Liuyishou Hotpot,5,"my daughters favorite meal. we love the variety, freshness and quality of food, service with a smile and the sense that you made a good healthy choice, for a fair price and you leave feeling good about yourself."
Whiskey's,3,"a great classic staple of boston. nice and simple  selection of middle eastern cusine. and not to mention some of the best falafel in town. a great place for lunch, a nice healthy option."
Gaslight,5,"dirty, unstocked  slow."
Moogy's,5,fantastic mediterraneangreek offerings. the feta is amazing yet so simple. we stuck with all vegetarian choices and were incredibly pleased. cocktails were great and not sweet at all.
Terra at Eataly Boston,4,"we swung by for a quick lunch today and had a terrible experience overall. that the service in general was pathetic would be an understatement. we never got an app we ordered, were made to wait a long time for our swiches and worst of all, my wife, who happens to be vegetarian, found a piece of bacon in her side of sweet potato fries. that last one is just plain unacceptable for a restaurant in a hotel like this. this was by far the worst experience we have had at a luxury collection property having stayed and dined at multiple ones all over the world. we are definitely not going back here which is quite a shame because we really used to like it."
South Street Diner,3,food is average
Olympic House of Pizza,5,"really enjoyed this markwt style place, a whole variety of products, fresh, and unique. the restaurant was really good. will be visiting again."
Emma's,4,"fantastic thai restaurant get their early or you will have a wait,  great food and drinks"
Yankee Lobster,1,"we had a great dining experience here! took my wife for her birthday and they surprised us with a toast and dessert complimentary!the food was delicious and perfectly cooked. prices were very reasonable as well. we got the shrimp and onion soup as apps and really enjoyed both. dinner was steak frites and their sole dish, both very good.staff was excellent. very pleasant and attentive but not over bearing.love the style of the restaurant, from the seating, to the bar scene, to the decor!"
LongHorn Steakhouse,5,"on my first visit, the tasty was delicious and the service was good!on my second time i was expecting more flavor. "
Maxine's On Saint James,5,great place to order lunch because the price is reasonable. thanks
Teatro,4,this is a must do when visiting boston. wow the city view and the music is always great !
L Street Diner & Pizzeria,5,"well, it was great to see the place but the food and the service was uneventful"
Chart House,5,"the owner is sweet and welcoming,  the food is delicious and the portions are huge for the price. the store is clean ! one of the best affordable eats in boston"
Burger King,3,generous portions and good prices. i just wish i had more time to eat it all!
Lunch Box Deli,5,my wife and i discovered redwhite recently and their vegan options are outstanding! i highly recommend the humble bowl and cranking up the spice! a great option as it gets colder!
Venezia Restaurant Boston,4,bad seating
wagamama seaport,3,for the price it cant beat beat
Dunkin',5,love it my favorite dominican restaurant
Abe & Louie's,5,"translated by google its food is exquisite, its staff very friendly, it has good prices, food is always at a good temperature.i did not give it 5 stars, because i have experience as a shef, and i recommended to the administrator that when the person in charge of cutting the cooked meat sharpens the knives, clean them well, because metal particles remain on the edge from the knife which when the meat is cut again they remain in it and who consumes them?well, the client.originalsu comida es exquisita,  su personal muy amable, tiene buenos precios, siempre a buena temperatura los alimentos.no le di 5 estrellas, porque tengo experiencia como shef, y recomende al administrador que cuando el encargado de cortar la carne cocida le ponga filo a los cuchillos limpie bien los mismos,  pues en el filo quedan particulas de metal del cuchillo las cuales al volver a cortar la carne quedan en ella y quien las consume?pues el cliente."
Papagayo,5,great food and great ambience
Fin Point Oyster Bar + Grille,5,"its a nice place, drinks are cheaper than most places. cool vibe."
Kayuga,4,so many options for organic clean delicious breakfast or lunch.
Sonic Drive-In,5,"came here with a kid and we were the only ones in the restaurant at the time. one of the employees saw us walking in and went straight to the register. being the first time here, we took a long time to decide what to order. the employee was very patient with us. as we waited for the food, more and more ppl came in. this was a sat evening.when i went up to get my food, it was missing one french fries order. the guy who made the food saw me standing there as i was waiting for him. i told him what i was missing and he kindly made for me. i head back to my table. when the order was ready, he didnt call for me but hand deliver ed it to me at the table.food, i have to say is quite expensive here but its good. seasoning for the sweet potato fries are good. milkshakes are thick and creamy. the kid likes her vanilla milkshake so thats good to know. i ordered an oreo milkshake and it had lots of oreos in it."
Ginger Exchange - Symphony Boston,5,"translated by google the food is balanced between the main food groups that are good for health, beautifully presented, served quickly, but the taste is not stable, the same dish is sometimes delicious, sometimes slightly salty.originalthc n ch bin cn i gia cac nhom thc n chinh tt cho sc khoe,trinh bay ep mt, phuc vu nhanh chong ,nhng vi thi cha n inh, cng mt mon n co luc thi thi va ming rt ngon,co luc thi hi mn ."
The Halal Guys,5,always good...
Acapulcos Mexican Family Restaurant & Cantina,1,"overall great experience! the bread is nice and crusty, obviously made at the location. i had the tomato and buffalo mozzarella salad and it was delicious. the risotto was delicious, creamy and the rice was well cooked. had a great time, will make sure to come back text time im in the city."
Temptations Cafe,3,"hookah is supposed to be social and relaxing. this place is neither. i regret ever going in this place and even more so knowing i spent 120 for two drinks, two hummus plates and one hookah. everything is overpriced, and the music is too loud to talk even to the person next to you. did i mention the giant tvs everywhere? what a nightmare."
Teatro,5,this is by far my favorite place for sushi in the area. i find the price is fair and the food is great. great place to grab sushi with friends and family.
Coda,5,for how busy it always is they keep the line moving very well.  i would only improve the friendliness of the staff.
Dumpling Palace,5,"great atmosphere, conveniently close to fenway park. awesome outdoor area!"
Villa Mexico Cafe,5,high prices.. good taste.. in center of city.. nice location..
Vito's Tavern,5,"i came here expecting some really fantastic milkshakes with a side of burger. it was more the other way around. we got seated quickly despite there being a wait, were served promptly, although our waitress didnt really do anything other than the bare minimum of her job and seemed somewhat cranky. we ordered burgers and shakes, and were quite excited to see the shakes arrive. they look fantastic, but upon tasting them... they were less than mediocre. all the extra pizzazz doesnt really make up for the sheer lack of flavor and somewhat watery texture they had. im used to thick, rich and creamy shakes these were less enjoyable than most fast food shakes. disappointing.however, my burger arrived and i was quite pleased. the chips were hard as a rock and unappetizing, but the burger was well cooked and juicy. my only qualm is that it didnt hold together. bun needed better toasting, maybe. i had a fried egg on mine, too, so it fell apart especially badly! most places will do a hard fry on their eggs mine was over easy, as i like it, but exploded a lot more than i expected. even though i was so covered in egg yolk and cheese i had to go wash my hands after, it was awesome.all in all, the shakes suck and the burgers are awesome."
Noon,5,disappointingly small popovers maybe 2 diameter? after hearing so much about them... being in a pool of honey flavored sauce seemed an odd combo too.  maybe it was just a bad idea to try eating at the bar late at night.  the fried clams were overly oily too.. like the fryer wasnt hot enough.none of it party thought the visit was worth repeating unfortunately 
Swish Shabu,1,terrible service.  okay food.
Saltie Girl,5,great place the steak is very tender. you must check it out.
Moogy's,4,never disappointed always great time amazing food and service. ive been there with friends with a date and with coworkers this is a place for all events and occasions. food is surprising and amazing drinks are amazing stop by and explore by yourself
Taqueria Casa Real,5,overpriced and poor selection.
Tavern Road,5,perfect venue for a fathers day brunch!
Max Noodles,4,"quick and friendly service, pretty good noodles."
Boston Bay Pizza,3,great food! quick service!
South End Buttery,5,they have good food and good drinks
Ruth's Chris Steak House,4,really bad customer service. i hope they bring in friendlier staff otherwise im sure theyre gonna close down soon. food wasnt fresh either.
Gyro City,5,good food big portion cheap and fast
Pressed,5,"the place is decent but lost two star because they dont take credit card. how arrogant it is to ask customers to go a mile to an atm, calculate the price they would order to eat here."
Viva Burrito,4,be careful what you wish for
La Sultana Bakery,3,good food
Regina Pizzeria,5,good place to dinner. out
Lolita Fort Point,5,went here on a work outing and was pleasantly surprised at how great the food was. the service was outstanding and the food was delicious. i had the burger and would strongly recommend it. a coworker had the fish and chips and the portion was huge. she said it was super delicious.
Carmelina's,5,smorgasbord of oriental gastronomy
Harborside Grill and Patio,5,"food is ok, the idea of sitting in your car on boston rd. sfld, ma. not so much. as when a begger walked up to the car next to us and asked for ."
Steve's Greek Cuisine,5,"great service,  fantastic brunch filet and eggs with hash browns outsatanding."
Dolce Vita Ristorante,1,"the inspiration for the tv show cheers! with a reproduction of the set upstairs. a place you must visit while in boston! simply put, its a classic!"
Le Foyer Bakery,4,nice place! excellent food!
Little Steve's Pizzeria,4,"if heaven came in a plate, it would be the grilled swordfish at the beehive! that was ridiculously good, it is just indescribable. the combination of flavors and ingredients was to die for, they danced and swirled in my mouth creating a this beautiful art piece of taste buds bliss.the server was really awesome, and gave great recommendations. i wish i remembered his name, but he was awesome, welcoming and friendly.i would definitely wont hesitate to go back again, and would definitely recommend it for everyone. cheers "
Exodus Bagels,5,"sp fun, drinks were pricey but it was definitely a quintessential boston experience and i would go again. there were games and fun things."
Fogo de Chão Brazilian Steakhouse,4,a well run location of this big chain
Stefano Sub,4,"great food, vibe, and service"
Noon,5,i went today and spent 30.00 dollars on sandwiches. had chicken salad sandwich awful  dry and all bread hardly any chicken.  had a chicken parm sandwich  it was over cooked anf dry.
P & R Restaurant,5,very good food! but a little bit expensive.
Bertucci's,5,great seafood! amazingly affordable.
Silvertone Bar & Grill,5,a little piece of oktoberfest in boston.
Pizza Place,5,love this place.. best pizza ever..
Hong Kong Eatery,2,great food nice service. people working there are very friendly.
The Met Back Bay,5,excellent service at this italian comfort food favorite.
Boston Chowda Co,5,"the workers look like they hate their lives and i usually see a different crew every time i go...however, the food is fiiirrreee when its at peak time so who cares?!"
Stats Bar & Grille,1,"lovely small restaurant that reminds me of hk. good meat selection including char siu roast pork and other specific dishes. sometimes hard to get a seat but worth it. also dont get the roast chicken, its super salty."
Anna's Taqueria,5,great authentic mexican food
McDonald's,5,"it has a really great ambiance!  the bartenders are very friendly and professional.  and most importantly, they make good high quality drinks!"
The Bebop,5,"i like their coffee  mccafes, friendly morning staff."
Holly Crab,5,solid quality food thats incredibly cheap for bostons standard. likely to become a local haunt for me
Koy,5,"love the food here, specially after hours."
Boston Bay Pizza 2,4,short staffed slow service...usually good place to go... dont think they expected the crowd with a local concert
Friendly's,5,good food. good service! casual dining.
Shabu Zen,3,"this place was so amazing and busy , customer service was 100.amazing !!!!"
New Jumbo Seafood Restaurant,5,second time i have been there and had a great experience both times! the food is super inventive and the flavors are mind blowing. had the most amazing soy pickled deviled eggs and the dan dan noodles were outstanding! cocktails are great too! highly recommended!
Babbo Pizzeria e Enoteca,5,best place around! fantastic food and amazing staff!
University Grill & Pizza,5,this place has the best bandeja paisa and large menu of colombian food. food is priced reasonably. very clean place wth good service. there is only street parking.
sushi time,5,idk if they have new owners but this is some of the worst chicken wings i ever had. im very saden i even spent my money on this. 28.32 is expensive for what i was given. these are supposed to be the best wing in boston. what a bumer. dont waste your money on these fantastic flavorless wings 
Bristol Restaurant and Bar,3,"this place is inside a shopping plaza, but has amazing food.  all 4 of us at the table had something different and all 4 plates were clean.  french dip, tuna salad, asian noodles and steak tips.  drinks were good too.  wait staff was helpful with food allergies and refilling water glasses.  we did have to ask for bread, and it was worth it.  great value and great taste."
Strega Italiano Seaport,5,shared cocktails are good!
Waterline,4,translated by google dealeuciasoriginaldealeucias
Boston Tavern,5,mean staff. tried to celebrate friends birthday here and they werent nice at all
Pete's Dockside,5,johnsons had awesome burgers and frappes.  love stopping by this place whenever im near by for a quick and cheap meal.
Ali's Roti Restaurant,4,"great mediterranean selections as well as american fare.  gyros, grilled kabobs, ribs, grilled chicken, falafel, soups and killer fresh cut fries all excellent.  try the salads and grilled vegetables.   they make everything fresh and grill over a wood fire. good sized portions and reasonably priced."
ReelHouse,5,best dessert in ma.
TGI Fridays,5,top notch burgers. they may be quick but its not fast food burgers
Lo Conte's,1,translated by google i  burguersoriginali  burguers
Red Robin Gourmet Burgers and Brews,4,"inspite of the pleasant sounds of screaming by some schizophrenic in the bathroom during the entire time i was there, i still managed not to enjoy my time there. mainly because the food was terrible and the place was filthy."
Amrheins Restaurant,5,translated by google good food good service no more missing the parkingoriginalbuena comida buen servicio no mas falta el estacionamiento
Asian Garden Restaurant,4,"so, so good. do not miss the sesame and honey appetizer, its amazing. fun place, nice service, very yummy."
Pavement Coffeehouse,5,quick and easy pickup process when you order online. good food and easy ordering online
Maxine's On Saint James,5,"buffalo wings are great, and the amazing blue cheese sauce turns them up to 11. service was stellar."
Boston Pizza Company,5,is open late night. best for college students
Venezia Restaurant Boston,5,music is loud and not much seating. but service was good
Savvor Restaurant and Lounge,1,"good meal, decent prices. 445 no lines 515 big line"
El Jefe's Taqueria - Boston Common,4,small no frills place but the food is excellent!
Double Chin Modern Asian Restaurant,5,"i dont know what to say, the bar is nice and the menu is wonderful. but the bartenders are great they know there stuff, food on point."
House of Blues Boston,5,"amazing, and crazy affordable for how much great food we got."
Woody's Pizza,5,translated by google great chiken winsoriginalgreat chiken wins
Coreanos Allston,2,great bloodys!
Teatro,4,good pub. needs a little tlc with the food...
Santarpio's Pizza,4,value for what u get is amazing! highly recommended
Chart House,3,whats the point of placing an online pickup order when you sit in the store for 20 minutes after your pick up time watching five people that walked in to place their orders get their food before you do!? oh and my burgers not even made correctly. wasted my entire lunch break.
JP Kitchen,3,crab cakes are very good. so was the filet mignon. service was great!
Pikalo East Boston,3,its kfc
Vineyard Grille,5,the food is very fresh and tasty.
Cheers,1,translated by google it is a quiet and healthy place that was observed in my stay and that of my guests originales un sitio tranquilo y sano eso se observo en mi estada y la de mis invitados 
Abe & Louie's,4,always a great meal
The Upper Crust Pizzeria,3,great place never really full of people and not sure why the food is amazing
Amelia's Taqueria,5,this location caters to me every time i walk in. bring your date or have a birthday party here!
The Local Wayland,5,service is good and the cashiers and the servers are very friendly. i tried their avocada citrus salad and i am disappointed. pretty plain salad with a few citrus parts and half avocado. nothing special. i think it is expensive for such a salad.
Boston Burger Company,5,was good
Hong Kong Eatery,5,"the food was good. but the service was mean. and when asked if they had a certain rice, a server said no. then after we had already ordered, another server came in with that rice."
Terra at Eataly Boston,5,love the salad
Al's State Street Cafe,5,poor quality burger on cod bun. great fries tho.... we wont be returning.
Boston Burger Company,4,"the best of both worlds.  if you want to go out to eat, the food and restaurant is great.  there is a variety of asian food to choose from... sushi, pad thai, traditional chinese, even polynesianhawaiian inspired dishes... im not gluten free but i do take notice of those options on menus as well as veganvegetarian and there seems to be a fair amount of gf items on the menu.  private dining rooms looks lovely too.then if youre having a night out, theres the lounge which i really like too.  diverse enough crowd id say mid 20s ?, good bar and music.  ive seen that people reserve seating.oh!  and so important, the bathrooms are clean!"
Slate Bar & Grill,5,always a blast when i come here to see any show!
Addis Red Sea,3,"nice outdoor patio as well as sit down.construction around it does obscure your view right now, but reasonable prices and varied menu"
Taproom Bar & Grill,5,amaaazing food!
Cap't Loui,4,casual irish pub
Sonic Drive-In,5,food is excellent for the price
SA PA,4,great food!! with good drinks!! been there a few times but likely story with good establishments theres usually a wait. the bigger your party the longer the wait! but its worth it! spicy chicken all the way! the more you eat the more spicier it gets!! also a good atmosphere surround by many bars as well!!
The Broadway,5,"try the crepes, its very good "
Wingz & Tingz,4,expensive but good. classic spot
Noodle Lab,4,went for a quick drink and snack with the wife at the bar. both were incredible. the street noodles were delicious! must go back for dinner.
Chilacates Amory St,4,omg the cotton candy.
Thai Place,5,yum.  we really liked to moroccan spiced meatball appetizer.  the pork schnitzel was good and the tandoori lamb rubs were very tasty but a bit difficult and messy to eat.
QDOBA Mexican Eats,5,excellent staff great food clean n excellent time with my babe
Larry J's BBQ Cafe,1,best italian pasta place! exceptional ziti with chicken  shrimp with pesto sauce truly blew our minds!! the place is small and authentic. we went here on sunday evening  and the wait in line was around 20 min. be prepared to have cash as this is cashonly place.
La Tapatia Taqueria,5,"gourmet dumpling house is one of my favorite restaurants in chinatown. they are notoriously busy. theyre not one of the top restaurants in boston for nothing. unfortunately if you dine here as a couple you will be sharing a table with strangers which will be the only unpleasant thing about your dining experience. we came right as they opened their doors so half of the restaurant was empty but they still seated my party of two at a larger table and had us share it with another couple. as long as you only care about the food, its a solid 55.i first visited this establishment 3 years ago and thought it was good but nothing special. i made my second visit approximately 1 month ago and basically loved everything we ordered. i have a tendency to overorder but with gourmet having such a large menu, its hard not to. their soup dumplings are plump and full of delicious, flavorful soup. the szechuan wonton with chili oil was a refreshing dish due to the cucumber and carrots that accompanied the wontons. the chili oil is a tasty mixture, however, it is lacking in heat. the wontons were solid. the sandong style pan fried dumplings with pork  shrimp were good but i would have liked them more if they were even crispier. each of our dumpling dishes came with their own dipping sauce. you will have to ask for chili sauce because they dont keep any condiments at the table.the scallion pancakes were perfect! crispy and delicious. my boyfriend and i are going through a phase where we are obsessed with salt  pepper chicken wings and calamari so we had to order them. everything was seasoned well and fried to perfection. both the chicken wings and calamari sit on a bed of iceberg lettuce to add a different texture and balance out the saltiness. i love that the chicken wings were also seasoned with that special chinese seasoning on top of the salt  pepper that really just enhances the whole dish. we definitely had to get a few togo boxes but our overall lunch experience was super yummy!"
Boston Burger Co-Davis Sq,4,the best lobster.
Tutti Frutti,5,"good gyros. not as good and flavorful as saloniki, but still worth it."
Tavitas Mexican,5,"great burgers, and delicious fries! my favorite are the buffalo cheese fries, cant go wrong! it is a little pricey, but its usually well worth it!"
The Glenville Stops,5,good environment compare to other restaurants in chinatown
Arya Trattoria,5,"after wanting to try this for a while, we were very disappointed. we did takeout, which was good since the restaurant doesnt seem to be abiding by the covid 25 capacity restrictions inside and was completely full including large groups and the bar. while the ropa vieja and sweet plantains were delicious, the ceviche didnt have enough acid, the octopus was like rubber, and the shrimp gambas tasted offfishy and didnt have enough spice. the food might be better in the restaurant, but with their covid noncompliances, we will not be going back anytime soon."
High Spot Deli,5,the person next to me was legitimately insane.
Pushcart Cafe & Pizzaria,1,good burritos.  small and relatively quiet and comfortable.
Moe's Southwest Grill,4,great fresh cherry stones and great friendly service
Kindles Wood Fired Brick Oven Pizzeria,5,great breakfast! good service. definitely cozy. worth the wait if theres a line.
Little River Inn,2,"great food, just watch out for exploding bottles of ketchup. not kidding, our poor neighbors were covered"
Top of the Hub,5,"great breakfast meals reasonly,price"
Harry’s All American,4,their food was absolutely excellent! the portions were perfect. the service was great. the lunch prices are reasonable. will definitely be stopping by again!
Montien Thai Restaurant,3,"this place opened recently.the food and the drinks were amazing.i got the breakfast poutine, and it was a lot and super tasty and flavorful. we also ordered the breakfast pizza and it was delicious and fresh."
Kappo Sushi and Ramen,5,make sure you visit at lunchtime for some legit italian food! gnocchi ai quattro formaggi are the best!
Liberty Diner,5,rowdy singalong german piano bar with great beer selection
Fleming’s Prime Steakhouse & Wine Bar,4,"our 2 time there, 918  219. its directly across from the bochwang theater  tremont st entrance to tufts medical center. fantastic variety, staff, layout, i could go on on. was recommended by several nurses!!"
TGI Fridays,5,"ive only been here once so take my rating with a grain of salt, but the food i did have there was really good"
Bullfinchs,5,this review is for the manager liam he goes above and beyond for his guest. hes amazing. i will be returning back. thank you liam.
SA PA,2,2oz tastings and small plates make this a good choice for after theater
Pescatore Restaurant,4,good and cheap food as always nice and clean
Pollos A La Brasa El Chalan,5,the new rib eye meal was epic!!! meat was sooooooooo tender!!!   way to go boston market in dorchester!!!
Chart House,4,fun atmosphere
Boloco,4,"this is a great option in boston, the location, the menu, the atmosphere. i wouldnt say its one of my boston tops but i enjoyed quite a nice dinner here. had a great simple beet salad and a yummy prepared fish. we were completely stuffed by the time we chowed down on some beignets and chocolate cake w ice cream for dessert!"
The Oceanaire Seafood Room,4,fresh  good italian food.  consistent quality
